payment_installments,payment_value,payment_total,payment_count,delivery_delay_days,purchase_to_delivery_days,total_to_value_ratio,is_delayed,purchase_hour,purchase_dow,payment_type_boleto,payment_type_credit_card,payment_type_debit_card,payment_type_not_defined,payment_type_voucher,payment_type_nan,authorization_status_authorized,authorization_status_declined,authorization_status_pending,authorization_status_reversed,authorization_status_nan,transaction_status_failed,transaction_status_pending,transaction_status_reversed,transaction_status_successful,transaction_status_nan,order_status_approved,order_status_canceled,order_status_created,order_status_delivered,order_status_invoiced,order_status_processing,order_status_shipped,order_status_unavailable,order_status_nan,order_channel_marketplace,order_channel_mobile_app,order_channel_online,order_channel_nan,derived_delivery_state_canceled,derived_delivery_state_delivered,derived_delivery_state_not_delivered,derived_delivery_state_shipped,derived_delivery_state_unavailable,derived_delivery_state_unknown,derived_delivery_state_nan,amount_bucket_low,amount_bucket_medium,amount_bucket_high,amount_bucket_nan,risk_score,actual_disputed,decision
5,372.08,372.08,1,-25.035740740740746,7.570150462962963,1.0,0,9,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.5129351194347472,0,resolve
10,153.58,153.58,1,-9.220439814814815,14.83925925925926,1.0,0,22,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.5258457583585268,0,resolve
1,54.0,54.0,1,-27.268854166666667,2.1392824074074075,1.0,0,14,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5137753729580481,0,resolve
1,30.0,30.0,1,-15.314143518518518,9.027546296296295,1.0,0,15,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5170016205671485,0,resolve
9,95.09,95.09,1,-14.249953703703705,11.420266203703704,1.0,0,7,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5327291671116283,0,resolve
1,40.17,40.17,1,-12.38988425925926,3.640138888888889,1.0,0,23,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.001929547780461431,0,resolve
10,150.98,150.98,1,-11.38761574074074,19.805671296296296,1.0,0,19,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0.5332506403612983,0,resolve
3,63.1,63.1,1,22.002743055555555,43.34935185185185,1.0,1,15,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5234190320538253,0,resolve
5,114.8,136.5,2,-15.425034722222222,10.630416666666669,1.1890243902439024,0,22,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5280107350103084,0,resolve
3,35.69,35.69,1,-5.075439814814815,20.899641203703705,1.0,0,0,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0.5441752039933052,0,escalate
2,119.97,119.97,1,8.952615740740741,41.79113425925926,1.0,1,3,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5249470019482696,0,resolve
4,114.32,114.32,1,-23.401203703703704,5.94119212962963,1.0,0,15,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.520835185010645,0,resolve
2,131.18,131.18,1,-7.334247685185185,13.26693287037037,1.0,0,9,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5213684550171034,0,resolve
4,160.17,160.17,1,-15.397858796296296,8.130532407407408,1.0,0,11,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.5334744928731004,0,resolve
1,107.85,107.85,1,-13.247025462962965,3.821099537037037,1.0,0,22,6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0.5296081144504711,0,resolve
3,62.59,62.59,1,-13.064583333333331,11.31019675925926,1.0,0,15,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5199612035312962,0,resolve
4,283.77,283.77,1,-16.047268518518518,7.200023148148148,1.0,0,18,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.5323951201508106,0,resolve
2,107.24,107.24,1,-16.08884259259259,9.03806712962963,1.0,0,20,2,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.010857122259234055,0,resolve
8,233.33,233.33,1,-21.16302083333333,2.907754629629629,1.0,0,22,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.5389833703596375,0,escalate
1,115.33,115.33,1,-15.496319444444444,11.953715277777778,1.0,0,13,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5184542900884717,0,resolve
2,49.34,49.34,1,-7.976805555555556,14.089155092592591,1.0,0,22,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5172352739185737,0,resolve
3,30.69,30.69,1,-9.407037037037036,16.129201388888887,1.0,0,11,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5210012222236223,0,resolve
1,17.39,17.39,1,-1.2052083333333334,2.8828125,1.0,0,21,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5228151476310706,0,resolve
3,88.15,88.15,1,-21.12609953703704,7.105277777777777,1.0,0,18,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5158875864743407,0,resolve
1,45.53,45.53,1,-5.283935185185185,1.951157407407408,1.0,0,18,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,0.5302918524751741,1,resolve
2,25.7,25.7,1,-20.50144675925926,6.551643518518518,1.0,0,22,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5136809160256244,0,resolve
1,51.98,58.22,2,-12.179328703703703,5.054583333333333,1.1200461716044634,0,18,5,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5008805263585369,0,resolve
1,10.49,66.9,7,-16.307199074074074,6.272164351851852,6.377502383222117,0,10,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5268015418075365,1,resolve
1,15.61,36.29,2,-6.239918981481481,5.963460648148148,2.324791800128123,0,19,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,0.5332234840824267,0,resolve
4,375.53,375.53,1,-34.250844907407405,10.040625,1.0,0,17,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.5059067280050855,0,resolve
2,167.07,167.07,1,-13.113032407407408,2.3321875,1.0,0,13,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.5157895047030282,0,resolve
1,29.71,29.71,1,-12.088634259259258,5.446423611111111,1.0,0,11,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5179834619338569,0,resolve
1,54.49,54.49,1,-24.299444444444443,10.903900462962962,1.0,0,19,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.510434315376717,0,resolve
1,112.24,112.24,1,-7.399201388888889,16.130578703703705,1.0,0,11,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0.5323928784128151,0,resolve
2,36.78,36.78,1,-12.33943287037037,1.1630208333333334,1.0,0,11,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,0.5297186666966484,0,resolve
3,65.78,65.78,1,-18.10833333333333,15.975347222222222,1.0,0,21,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5128237114069986,0,resolve
1,88.06,88.06,1,-30.99473379629629,11.581238425925926,1.0,0,10,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5117085506952443,0,resolve
1,35.36,35.36,1,-2.135636574074074,2.239872685185185,1.0,0,14,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5219035271653928,0,resolve
1,431.43,431.43,1,-11.53238425925926,10.9915625,1.0,0,11,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.5090475379532883,0,resolve
3,33.39,33.39,1,-4.173125,8.114965277777777,1.0,0,17,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5232160131590379,0,resolve
1,14.98,54.98,3,-4.101030092592593,16.221157407407407,3.6702269692923895,0,16,2,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,0.5160974600080597,0,resolve
2,144.65,144.65,1,-14.296898148148149,14.161631944444444,1.0,0,12,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.510785947079696,0,resolve
1,67.61,67.61,1,-20.20480324074074,4.958425925925926,1.0,0,20,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5150764619314652,0,resolve
4,59.34,59.34,1,-5.2556365740740745,5.163240740740741,1.0,0,13,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5277528049442398,1,resolve
4,570.71,570.71,1,-11.250833333333333,12.337523148148149,1.0,0,9,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0.528552026983735,0,resolve
1,52.58,52.58,1,-1.4381481481481482,2.7144444444444447,1.0,0,20,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5236461343440734,0,resolve
1,25.5,25.5,1,-9.406203703703705,14.086273148148148,1.0,0,12,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5187426400736712,0,resolve
8,81.73,81.73,1,-7.160138888888889,2.142685185185185,1.0,0,16,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5316215390407569,1,resolve
10,269.75,269.75,1,-14.148761574074074,32.127361111111114,1.0,0,17,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.5408802891573279,1,escalate
1,102.26,102.26,1,-25.268541666666668,3.011585648148148,1.0,0,17,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5118500731940624,0,resolve
1,128.02,128.02,1,-9.320891203703704,17.943935185185186,1.0,0,17,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.5159998339358133,0,resolve
1,38.28,38.28,1,-13.316921296296297,3.787488425925926,1.0,0,21,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5159302573754473,0,resolve
1,913.7,913.7,1,-20.174502314814816,11.060439814814815,1.0,0,18,6,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.0004850005240346781,0,resolve
8,103.28,103.28,1,-13.070474537037038,16.299282407407407,1.0,0,15,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.526306673033309,0,resolve
5,246.81,246.81,1,-6.412523148148148,4.749664351851852,1.0,0,20,6,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.5213334956561245,0,resolve
6,298.22,298.22,1,-6.114988425925926,18.253541666666667,1.0,0,15,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.517651476108776,0,resolve
1,50.35,50.35,1,-11.97175925925926,10.380706018518518,1.0,0,15,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5146555876718689,0,resolve
12,246.55,272.18,2,-4.295798611111112,23.84891203703704,1.1039545731089029,0,20,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0.5421648030303166,0,escalate
1,64.9,64.9,1,-19.15994212962963,8.07074074074074,1.0,0,18,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5126272973016599,0,resolve
1,29.75,29.75,1,-16.257511574074073,13.73380787037037,1.0,0,0,5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5191786947639465,0,resolve
1,175.66,175.66,1,-10.342361111111112,6.066481481481482,1.0,0,14,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0.5205301228811637,1,resolve
1,158.03,158.03,1,-8.076539351851851,20.418645833333333,1.0,0,12,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0.5208848582549915,0,resolve
1,68.42,68.42,1,-17.362997685185185,6.334884259259259,1.0,0,7,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,0.5154121227319431,0,resolve
